Seconds=  15.554	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.578	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.622	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.647	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.689	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.715	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.759	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.785	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.827	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.851	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.894	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.918	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.963	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  15.986	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.031	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.054	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.098	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.122	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.165	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.189	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.234	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.260	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.303	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.327	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  16.368	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
